FIPS,state_abbr,county_name,votes_dem_2016,votes_gop_2016
01001,AL,Autauga County,5908,18110
01003,AL,Baldwin County,18409,72780
01005,AL,Barbour County,4848,5431
01007,AL,Bibb County,1874,6733
01009,AL,Blount County,2150,22808
01011,AL,Bullock County,3530,1139
01013,AL,Butler County,3716,4891
01015,AL,Calhoun County,13197,32803
01017,AL,Chambers County,5763,7803
01019,AL,Cherokee County,1524,8809
01021,AL,Chilton County,2909,15068
01023,AL,Choctaw County,3109,4102
01025,AL,Clarke County,5712,7109
01027,AL,Clay County,1234,5230
01029,AL,Cleburne County,684,5738
01031,AL,Coffee County,4194,15825
01033,AL,Colbert County,7296,16718
01035,AL,Conecuh County,3069,3413
01037,AL,Coosa County,1780,3376
01039,AL,Covington County,2379,13222
01041,AL,Crenshaw County,1663,4511
01043,AL,Cullman County,3730,32734
01045,AL,Dale County,4408,13798
01047,AL,Dallas County,12826,5784
01049,AL,DeKalb County,3682,21779
01051,AL,Elmore County,8436,27619
01053,AL,Escambia County,4698,10282
01055,AL,Etowah County,10350,32132
01057,AL,Fayette County,1358,6705
01059,AL,Franklin County,2197,9466
01061,AL,Geneva County,1522,9967
01063,AL,Greene County,4006,838
01065,AL,Hale County,4772,3172
01067,AL,Henry County,2286,5623
01069,AL,Houston County,10547,30567
01071,AL,Jackson County,3663,16643
01073,AL,Jefferson County,151581,130614
01075,AL,Lamar County,1035,5819
01077,AL,Lauderdale County,9877,27735
01079,AL,Lawrence County,3611,10732
01081,AL,Lee County,20987,34321
01083,AL,Limestone County,9340,28824
01085,AL,Lowndes County,4882,1751
01087,AL,Macon County,7237,1394
01089,AL,Madison County,62435,89199
01091,AL,Marengo County,5607,5224
01093,AL,Marion County,1432,11273
01095,AL,Marshall County,4913,29217
01097,AL,Mobile County,68429,91087
01099,AL,Monroe County,4310,5771
01101,AL,Montgomery County,58669,33928
01103,AL,Morgan County,11216,37392
01105,AL,Perry County,3823,1403
01107,AL,Pickens County,3972,5454
01109,AL,Pike County,5039,7681
01111,AL,Randolph County,2290,7697
01113,AL,Russell County,9577,9210
01117,AL,Shelby County,22927,72846
01115,AL,St. Clair County,5550,31579
01119,AL,Sumter County,4739,1581
01121,AL,Talladega County,12108,20596
01123,AL,Tallapoosa County,5271,12967
01125,AL,Tuscaloosa County,31746,47701
01127,AL,Walker County,4486,24208
01129,AL,Washington County,2366,6031
01131,AL,Wilcox County,4329,1737
01133,AL,Winston County,871,9225
05001,AR,Arkansas County,1939,3825
05003,AR,Ashley County,2408,5338
05005,AR,Baxter County,4163,14655
05007,AR,Benton County,27894,60751
05009,AR,Boone County,2925,12225
05011,AR,Bradley County,1317,2163
05013,AR,Calhoun County,636,1554
05015,AR,Carroll County,3334,6773
05017,AR,Chicot County,2350,1716
05019,AR,Clark County,3606,4398
05021,AR,Clay County,1999,3779
05023,AR,Cleburne County,2101,9454
05025,AR,Cleveland County,723,2460
05027,AR,Columbia County,3140,5456
05029,AR,Conway County,2655,4844
05031,AR,Craighead County,10474,22798
05033,AR,Crawford County,4476,16655
05035,AR,Crittenden County,8368,6953
05037,AR,Cross County,1995,4577
05039,AR,Dallas County,1165,1507
05041,AR,Desha County,2227,1915
05043,AR,Drew County,2364,3967
05045,AR,Faulkner County,14525,29170
05047,AR,Franklin County,1376,5034
05049,AR,Fulton County,1067,3470
05051,AR,Garland County,12283,26053
05053,AR,Grant County,1407,5160
05055,AR,Greene County,3056,10698
